parte,tema,titulo,LEY,articulo,tipo
GENERAL,8,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",71,JURIDICO
GENERAL,8,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",72,JURIDICO
GENERAL,8,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",73,JURIDICO
GENERAL,8,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",74,JURIDICO
GENERAL,8,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",75,JURIDICO
GENERAL,8,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",76,JURIDICO
GENERAL,8,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",77,JURIDICO
GENERAL,8,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",78,JURIDICO
GENERAL,8,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",79,JURIDICO
GENERAL,9,La Unión Europea. El Tratado de la Unión Europea y el Tratado de Funcionamiento de la Unión Europea.,TUE,1,JURIDICO
GENERAL,9,La Unión Europea. El Tratado de la Unión Europea y el Tratado de Funcionamiento de la Unión Europea.,TUE,2,JURIDICO
GENERAL,9,La Unión Europea. El Tratado de la Unión Europea y el Tratado de Funcionamiento de la Unión Europea.,TUE,3,JURIDICO
GENERAL,9,La Unión Europea. El Tratado de la Unión Europea y el Tratado de Funcionamiento de la Unión Europea.,TUE,4,JURIDICO
GENERAL,9,La Unión Europea. El Tratado de la Unión Europea y el Tratado de Funcionamiento de la Unión Europea.,TUE,5,JURIDICO
GENERAL,9,La Unión Europea. El Tratado de la Unión Europea y el Tratado de Funcionamiento de la Unión Europea.,TUE,6,JURIDICO
GENERAL,9,La Unión Europea. El Tratado de la Unión Europea y el Tratado de Funcionamiento de la Unión Europea.,TUE,7,JURIDICO
GENERAL,9,La Unión Europea. El Tratado de la Unión Europea y el Tratado de Funcionamiento de la Unión Europea.,TUE,8,JURIDICO
GENERAL,9,La Unión Europea. El Tratado de la Unión Europea y el Tratado de Funcionamiento de la Unión Europea.,TFUE,288,JURIDICO
GENERAL,9,La Unión Europea. El Tratado de la Unión Europea y el Tratado de Funcionamiento de la Unión Europea.,TFUE,289,JURIDICO
GENERAL,9,La Unión Europea. El Tratado de la Unión Europea y el Tratado de Funcionamiento de la Unión Europea.,TFUE,290,JURIDICO
GENERAL,9,La Unión Europea. El Tratado de la Unión Europea y el Tratado de Funcionamiento de la Unión Europea.,TFUE,291,JURIDICO
GENERAL,9,La Unión Europea. El Tratado de la Unión Europea y el Tratado de Funcionamiento de la Unión Europea.,TFUE,292,JURIDICO
GENERAL,9,La Unión Europea. El Tratado de la Unión Europea y el Tratado de Funcionamiento de la Unión Europea.,TFUE,293,JURIDICO
GENERAL,9,La Unión Europea. El Tratado de la Unión Europea y el Tratado de Funcionamiento de la Unión Europea.,TFUE,294,JURIDICO
GENERAL,9,La Unión Europea. El Tratado de la Unión Europea y el Tratado de Funcionamiento de la Unión Europea.,TFUE,295,JURIDICO
GENERAL,9,La Unión Europea. El Tratado de la Unión Europea y el Tratado de Funcionamiento de la Unión Europea.,TFUE,296,JURIDICO
GENERAL,9,La Unión Europea. El Tratado de la Unión Europea y el Tratado de Funcionamiento de la Unión Europea.,TFUE,297,JURIDICO
GENERAL,9,La Unión Europea. El Tratado de la Unión Europea y el Tratado de Funcionamiento de la Unión Europea.,TFUE,298,JURIDICO
GENERAL,9,La Unión Europea. El Tratado de la Unión Europea y el Tratado de Funcionamiento de la Unión Europea.,TFUE,299,JURIDICO
GENERAL,10,"La Ley Organica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres:","Ley Organica 3/2007, de 22 de marzo",1,JURIDICO
GENERAL,10,"La Ley Organica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres:","Ley Organica 3/2007, de 22 de marzo",2,JURIDICO
GENERAL,10,"La Ley Organica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres:","Ley Organica 3/2007, de 22 de marzo",3,JURIDICO
GENERAL,10,"La Ley Organica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres:","Ley Organica 3/2007, de 22 de marzo",4,JURIDICO
GENERAL,10,"La Ley Organica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres:","Ley Organica 3/2007, de 22 de marzo",5,JURIDICO
GENERAL,10,"La Ley Organica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres:","Ley Organica 3/2007, de 22 de marzo",6,JURIDICO
GENERAL,10,"La Ley Organica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres:","Ley Organica 3/2007, de 22 de marzo",7,JURIDICO
GENERAL,10,"La Ley Organica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres:","Ley Organica 3/2007, de 22 de marzo",8,JURIDICO
GENERAL,10,"La Ley Organica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres:","Ley Organica 3/2007, de 22 de marzo",9,JURIDICO
GENERAL,10,"La Ley Organica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres:","Ley Organica 3/2007, de 22 de marzo",10,JURIDICO
GENERAL,10,"La Ley Organica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres:","Ley Organica 3/2007, de 22 de marzo",11,JURIDICO
GENERAL,10,"La Ley Organica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres:","Ley Organica 3/2007, de 22 de marzo",12,JURIDICO
GENERAL,10,"La Ley Organica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres:","Ley Organica 3/2007, de 22 de marzo",13,JURIDICO
GENERAL,10,"La Ley Organica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres:","Ley Organica 3/2007, de 22 de marzo",14,JURIDICO
GENERAL,10,"La Ley Organica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres:","Ley Organica 3/2007, de 22 de marzo",15,JURIDICO
GENERAL,10,"La Ley Organica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres:","Ley Organica 3/2007, de 22 de marzo",16,JURIDICO
GENERAL,10,"La Ley Organica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres:","Ley Organica 3/2007, de 22 de marzo",17,JURIDICO
GENERAL,10,"La Ley Organica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres:","Ley Organica 3/2007, de 22 de marzo",18,JURIDICO
GENERAL,10,"La Ley Organica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres:","Ley Organica 3/2007, de 22 de marzo",19,JURIDICO
GENERAL,10,"La Ley Organica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres:","Ley Organica 3/2007, de 22 de marzo",20,JURIDICO
GENERAL,10,"La Ley Organica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres:","Ley Organica 3/2007, de 22 de marzo",21,JURIDICO
GENERAL,10,"La Ley Organica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres:","Ley Organica 3/2007, de 22 de marzo",22,JURIDICO
GENERAL,10,"La Ley Organica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres:","Ley Organica 3/2007, de 22 de marzo",23,JURIDICO
GENERAL,10,"La Ley Organica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres:","Ley Organica 3/2007, de 22 de marzo",24,JURIDICO
GENERAL,10,"La Ley Organica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres:","Ley Organica 3/2007, de 22 de marzo",25,JURIDICO
GENERAL,10,"La Ley Organica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres:","Ley Organica 3/2007, de 22 de marzo",26,JURIDICO
